group_id,perc_hs,perc_bach,log_median_household_income,perc_female,median_age,perc_65_or_older,perc_aa,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,year,opioid_death_rate
1073,27.1,18.1,10.644853305366548,52.9,36.9,13.2,42.3,0.5171447758104193,1.5404222391731244,0.11353310924855416,0.7297313437154076,0.0,0.0,0.41127855366749955,0.15221748139520283,0.07875542188591281,0.3669063161628375,0.08521119543417612,0.3497913071580915,0.0945874885103625,0.7209165557652338,0.30478711218931387,0.16857454686757245,1.5499191218585464,0.11488928076833828,0.11358248811546078,0.28210258398601895,2011,26.504641655265658
1097,32.3,12.8,10.654243045716386,52.0,36.6,13.3,34.9,0.44367528184187033,1.8439295447679767,0.06930572992281374,0.992904874681606,0.0,0.0,0.2643479390588512,0.17623325157097597,0.08270574571850559,0.3118237733076451,0.0949046139214961,0.4799157255514103,0.09273321840802709,0.3772645209752694,0.4304084437518676,0.25679893466558773,1.7519509438620153,0.06603170130107147,0.06930512558622139,0.24297084457505053,2011,28.08850174561627
2020,32.8,18.9,11.19564978967137,49.8,32.9,7.7,5.5,0.6578458297630773,0.5118325541557684,0.15543668068040334,0.7405645837853566,0.0,0.08873188310486106,0.21160539076103216,0.10327255060965607,0.2846807065186944,0.0,0.13965720795841918,0.2938220985199099,0.1172874806131603,1.3225545512816277,0.5285279317842851,0.3889783551103315,1.7154517077334606,0.22849427084695959,0.12008210067938886,0.600553979287903,2011,30.404146922123896
4013,31.5,19.3,10.83506090794144,50.5,34.9,12.5,5.0,0.5296906878579403,0.4588581031926475,0.201438014563823,0.983991861059788,0.0,0.0,0.3072327359212122,0.16058241528482853,0.1493690434651471,0.0,0.06854973292883246,0.5358258949851175,0.03628681105912849,1.1553875000937817,0.9865276490888744,0.3517256258378691,1.6436682144588441,0.1721438771585792,0.07403229217847318,0.7076944353141023,2011,6.703094671648745
4015,37.7,7.1,10.490801883683998,49.7,48.2,24.0,1.2,0.6320601339150855,0.4117369967561859,0.17103843119843293,0.9039155326469859,0.0,0.0,0.11543412821524175,0.08369381857412203,0.13094499833139123,0.0,0.07054755569856605,0.6476176066146885,0.3300461657172269,1.3655528430573065,1.3778090794237443,0.3476345147338974,0.9421255015474529,0.1555920320776123,0.2394289974714644,0.5287558283205545,2011,28.460105540014823
4019,24.3,17.3,10.694487133263578,50.7,37.9,15.9,3.8,0.34547032573162956,0.2840468021728895,0.15386847374942342,1.863891358245941,0.0,0.0,0.263637544111019,0.15353837284112953,0.23483314101124522,0.0,0.10831488344952223,0.6692196653122432,0.0,0.7514769271752504,1.3550484071685243,0.267140416237394,1.9608920766198221,0.13513554248144413,0.03705237598395329,0.6562301872319524,2011,21.598095419592838
4021,36.5,12.9,10.694373778997369,47.1,36.1,14.6,4.5,0.44071641009826595,0.6030943475137339,0.19989370463808695,1.2848841523488048,0.0,0.0,0.2628321373428249,0.11471208947725395,0.122153602620218,0.0220865762831931,0.10423583826210099,0.5818115623494599,0.09411232783729581,1.1426761237232692,1.3781369241291623,0.201313621790253,2.0085825858872535,0.18045796295217245,0.12858349038180775,0.42658799900746225,2011,29.15779126567992
4025,23.8,17.2,10.638711939508168,50.4,50.1,25.5,0.6,0.5128922849974612,0.23308236624997494,0.19863612430070213,0.5865637575894922,0.0,0.07684536246278612,0.2821253039361885,0.048987387805895746,0.16745779734787122,0.08363318512399748,0.06356450314774388,0.5964872007038121,0.15388520290253785,1.6734459167217697,0.7225407990015078,0.2887876115553675,2.1850700322561107,0.14707779998359471,0.09048969719433853,0.7523841991988073,2011,28.0355928531483
5007,45.8,19.5,10.865535281748011,50.4,35.0,12.0,1.2,0.9682381341113896,0.2775156907289143,0.23670226627575347,1.0104564551007793,0.0,0.109852177201163,0.3933194955941561,0.10687126380753235,0.1199175569647046,0.2091730477271364,0.02767207976373421,0.4294045286027893,0.04412004731324442,0.6619690403164703,0.3700027055110937,0.0,1.6229066371417755,0.67224305366478,0.18146068427954368,0.30284966415695125,2011,30.50200574548129
5119,30.3,20.6,10.67961926320976,51.9,36.6,12.3,35.4,0.39138729846883946,2.2465877789795274,0.07865323620083331,0.8186884070842082,0.0,0.0,0.29358765665399444,0.2175797921257344,0.04158895600981271,0.20928143681144176,0.06087145322765577,0.37251761282299145,0.055464853772759636,0.45571784029293616,0.27498076620819195,0.26754688984197106,1.4562136697653787,0.17766229999654384,0.12008931776669343,0.2202795060942201,2011,29.233929745233652
6001,24.9,24.1,11.120741767167978,50.9,36.8,11.5,12.4,0.47143665887793684,1.228456871405261,0.141651717485388,0.8468224395656293,0.0,0.0,0.12072875611831421,0.2786891332059132,0.30953721601629897,0.0,0.06643757088648682,0.4509955392182125,0.03415226469712305,0.8397525542203459,0.5750074664186073,0.5649651875998606,1.4578312409812226,0.07999713807037832,0.053154112130631564,0.38484301183660125,2011,25.275555815355876
6007,30.5,15.9,10.575896167946674,51.0,37.5,15.6,1.4,0.7737686896124076,0.5383708390470121,0.16388817805528832,0.8833857217464538,0.0,0.0,0.18058878296540357,0.17790155106062058,0.3075283289679937,0.0,0.10733121055044638,0.568110393254508,0.14787254691257434,1.029294827632345,0.6125961955044239,0.24683503848217853,1.8427904522916103,0.09712798663153695,0.1674463379519694,0.4757773375877465,2011,28.94435763759312
